School_Name,Satety_Rating,Family_Rating,Environment_Rating,Instruction_Rating,Leaders_Rating,Teacher_Rating
"Charles R Henderson Elementary School","Very Weak","NDA","Weak","Weak","Weak","NDA"
"Charles S Brownell Elementary School","Weak","Very Weak","Strong","Very Strong","Weak","Very Weak"
"Charles S Deneen Elementary School","Average","Weak","Average","Average","Weak","Average"
"Charles Sumner  Math & Science Community Acad Elementary School","Average","Weak","Average","Average","Weak","Weak"
"Charles W Earle Elementary School","Weak","NDA","Strong","Strong","Weak","NDA"
"Chicago Academy Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"Chicago Academy High School","Average","Weak","Average","Average","Weak","Average"
"Chicago High School for Agricultural Sciences","Very Strong","Strong","Average","Average","Weak","Average"
"Chicago Military Academy High School","Weak","NDA","Weak","Weak","Weak","NDA"
"Chicago Vocational Career Academy High School","Weak","Average","Weak","Weak","Weak","Weak"
"Christian Ebinger Elementary School","Strong","Strong","Strong","Average","Weak","Strong"
"Christian Fenger Academy High School","Weak","Weak","Average","Weak","Weak","Average"
"Christopher Columbus Elementary School","Strong","NDA","Average","Average","Weak","NDA"
"Clara Barton Elementary School","Weak","Average","Weak","Weak","Weak","Average"
"Claremont Academy Elementary School","Weak","Weak","Average","Average","Weak","Average"
"Collins Academy High School","Strong","Average","Average","Average","Weak","Average"
"Columbia Explorers Elementary Academy","Average","Strong","Average","Strong","Weak","Strong"
"Countee Cullen Elementary School","Very Weak","NDA","Weak","Weak","Weak","NDA"
"Crispus Attucks Elementary School","Average","Strong","Strong","Average","Weak","Very Strong"
"Crown Community Academy of Fine Arts Center Elementary School","Weak","Weak","Average","Average","Weak","Weak"
"Cyrus H McCormick Elementary School","NDA","Strong","NDA","NDA","Weak","Average"
"Daniel Boone Elementary School","Average","Average","Average","Average","Weak","Average"
"Daniel C Beard Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Daniel Hale Williams Prep School of Medicine","Average","NDA","Average","Average","Weak","NDA"
"Daniel J Corkery Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Daniel R Cameron Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Daniel S Wentworth Elementary School","Weak","Weak","Weak","Weak","Weak","Weak"
"Daniel Webster Elementary School","Average","Average","Very Strong","Strong","Weak","Average"
"David G Farragut Career Academy High School","Average","NDA","Average","Weak","Weak","NDA"
"DeVry University Advantage Academy High School","NDA","NDA","NDA","NDA","Weak","NDA"
"Dewey Elementary Academy of Fine Arts","Average","NDA","Average","Weak","Weak","NDA"
"DeWitt Clinton Elementary School","Average","Average","Average","Average","Weak","Weak"
"Disney II Magnet School","NDA","Very Strong","NDA","NDA","Weak","Average"
"Donald Morrill Math & Science Elementary School","Weak","Weak","Weak","Weak","Weak","Weak"
"Douglas Taylor Elementary School","Weak","NDA","Weak","Very Weak","Weak","NDA"
"Dr Jorge Prieto Math and Science","NDA","NDA","NDA","NDA","Weak","NDA"
"Dr  Martin Luther King  Jr  College Prep High School","NDA","NDA","NDA","NDA","Weak","NDA"
"Dumas Technology Academy","Very Weak","NDA","Weak","Average","Weak","NDA"
"Dunne Technology Academy","Average","Average","Strong","Strong","Weak","Average"
"Durkin Park Elementary School","Strong","Strong","Average","Average","Weak","Strong"
"Dvorak Technology Academy","Average","Weak","Strong","Strong","Weak","Very Weak"
"Dyett High School","Weak","Very Weak","Weak","Average","Weak","Weak"
"Edgar Allan Poe Elementary Classical School","Very Strong","Weak","Strong","Very Strong","Weak","Average"
"Edgebrook Elementary School","Very Strong","Very Strong","Average","Average","Weak","Strong"
"Edison Park Elementary School","Very Strong","NDA","Average","Average","Weak","NDA"
"Edmond Burke Elementary School","Very Weak","NDA","Very Weak","Weak","Weak","NDA"
"Edward A Bouchet Math & Science Academy Elementary School","Weak","Average","Average","Average","Weak","Average"
"Edward Beasley Elementary Magnet Academic Center","Average","NDA","Weak","Average","Weak","NDA"
"Edward C Delano Elementary School","Weak","Strong","Strong","Average","Weak","Strong"
"Edward Coles Elementary Language Academy","Weak","Average","Average","Average","Weak","Average"
"Edward Everett Elementary School","NDA","Strong","NDA","NDA","Weak","Average"
"Edward Jenner Elementary Academy of the Arts","Average","Weak","Strong","Average","Weak","Weak"
"Edward K Ellington Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Edward N Hurley Elementary School","Strong","Average","Average","Average","Weak","Average"
"Edward Tilden Career Community Academy High School","Weak","Average","Average","Weak","Weak","Weak"
"Edward White Elementary Career Academy","Weak","NDA","Average","Average","Weak","NDA"
"Edwin G Foreman High School","Weak","NDA","Weak","Weak","Weak","NDA"
"Elaine O Goodlow Elementary Magnet School","Average","Average","Average","Average","Weak","Weak"
"Elihu Yale Elementary School","Weak","Weak","Average","Average","Weak","NDA"
"Eli Whitney Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Elizabeth H Sutherland Elementary School","Very Strong","NDA","Strong","Average","Weak","NDA"
