School_Name,Satety_Rating,Family_Rating,Environment_Rating,Instruction_Rating,Leaders_Rating,Teacher_Rating
"Louis Pasteur Elementary School","Average","NDA","Average","Weak","Weak","NDA"
"Ludwig Van Beethoven Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Luke O'Toole Elementary School","Very Weak","NDA","Weak","Average","Weak","NDA"
"Luther Burbank Elementary School","Weak","NDA","Average","Weak","Weak","NDA"
"Lyman A Budlong Elementary School","Average","Average","Weak","Weak","Weak","Average"
"Lyman Trumbull Elementary School","Average","NDA","Average","Weak","Weak","NDA"
"Mahalia Jackson Elementary School","Weak","NDA","Average","Strong","Weak","NDA"
"Mancel Talcott Elementary School","Strong","Average","Average","Strong","Weak","Average"
"Manley Career Academy High School","Average","Weak","Average","Weak","Weak","Weak"
"Manuel Perez Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Marcus Moziah Garvey Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Mariano Azuela Elementary School","Average","Very Strong","Strong","Very Strong","Weak","Very Strong"
"Maria Saucedo Elementary Scholastic Academy","Strong","NDA","Average","Strong","Weak","NDA"
"Marie Sklodowska Curie Metropolitan High School","Average","Weak","Weak","Average","Weak","Weak"
"Marine Military Math and Science Academy","Average","Average","Weak","Weak","Weak","Weak"
"Mark Sheridan Elementary Math & Science Academy","Strong","Average","Average","Strong","Weak","Strong"
"Mark Skinner Elementary School","Very Strong","NDA","Average","Average","Weak","NDA"
"Mark Twain Elementary School","Strong","Strong","Average","Average","Weak","Strong"
"Marquette Elementary School","Very Weak","NDA","Very Weak","Very Weak","Weak","NDA"
"Martha Ruggles Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"Martin A Ryerson Elementary School","Average","Weak","Average","Average","Weak","Weak"
"Marvin Camras Elementary School","Average","Average","Weak","Average","Weak","Very Strong"
"Mary E Courtenay Elementary Language Arts Center","Very Strong","NDA","Very Strong","Very Strong","Weak","NDA"
"Mary E McDowell Elementary School","NDA","Average","NDA","NDA","Weak","Average"
"Mary Gage Peterson Elementary School","Strong","NDA","Average","Average","Weak","NDA"
"Mary Lyon Elementary School","Average","NDA","Average","Weak","Weak","NDA"
"Mary Mapes Dodge Elementary Renaissance Academy","Average","Strong","Strong","Strong","Weak","Very Strong"
"Mary McLeod Bethune Elementary School","Average","Average","Average","Weak","Weak","Average"
"Mason High School","Average","NDA","Average","Average","Weak","NDA"
"Matthew A Henson Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Matthew Gallistel Elementary Language Academy","Average","Average","Weak","Weak","Weak","Average"
"Medgar Evers Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Melville W Fuller Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Michael Faraday Elementary School","Weak","NDA","Strong","Strong","Weak","NDA"
"Michael M Byrne Elementary School","Strong","Strong","Weak","Weak","Weak","Average"
"Michele Clark Academic Prep Magnet High School","NDA","NDA","NDA","NDA","Weak","NDA"
"Mildred I Lavizzo Elementary School","Very Weak","Weak","Average","Average","Weak","Weak"
"Milton Brunson Math & Science Specialty Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Minnie Mars Jamieson Elementary School","Strong","Average","Strong","Strong","Weak","Average"
"Miriam G Canter Middle School","Average","Average","Weak","Weak","Weak","Strong"
"Morgan Park High School","Average","NDA","Weak","Weak","Weak","NDA"
"Morton School of Excellence","Average","Average","Strong","Strong","Weak","Very Strong"
"Moses Montefiore Special Elementary School","Weak","NDA","Average","Very Weak","Weak","NDA"
"Mount Greenwood Elementary School","Very Strong","NDA","Average","Weak","Weak","NDA"
"Mount Vernon Elementary School","Weak","Weak","Average","Average","Weak","Very Weak"
"Multicultural Academy of Scholarship","Average","NDA","Average","Average","Weak","NDA"
"Myra Bradwell Communications Arts & Sciences Elementary School","Weak","Weak","Average","Average","Weak","Average"
"Nathanael Greene Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Nathan Hale Elementary School","Average","Strong","Average","Average","Weak","Strong"
"Nathaniel Pope Elementary School","Average","NDA","Strong","Very Strong","Weak","NDA"
"Nathan R Goldblatt Elementary School","Average","NDA","Very Strong","Very Strong","Weak","NDA"
"Nathan S Davis Elementary School","Average","NDA","Average","Average","Weak","NDA"
"National Teachers Elementary Academy","Strong","Strong","Strong","Strong","Weak","Average"
"Neal F Simeon Career Academy High School","Average","NDA","Weak","Average","Weak","NDA"
"Near North Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"New Field Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"New Millennium High School of Health at Bowen","Very Weak","Weak","Weak","Weak","Weak","Very Weak"
"Newton Bateman Elementary School","Average","Weak","Average","Average","Weak","Weak"
"Nicholas Senn High School","Average","NDA","Average","Average","Weak","NDA"
"Nicholson Technology Academy","Average","Weak","Strong","Strong","Weak","Weak"
"Ninos Heroes Elementary Academic Center","Weak","NDA","Strong","Average","Weak","NDA"
"Norman A Bridge Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"North-Grand High School","Average","NDA","Weak","Weak","Weak","NDA"
"North River Elementary School","Strong","Strong","Average","Average","Weak","Average"
"Northside College Preparatory High School","Very Strong","NDA","Very Strong","Very Strong","Weak","NDA"
"Percy L Julian High School","Weak","Average","Weak","Weak","Weak","Average"
"Northside Learning Center High School","Very Strong","Very Strong","Very Strong","Weak","Weak","Very Strong"
"Northwest Middle School","Weak","NDA","Very Weak","Very Weak","Weak","NDA"
"Norwood Park Elementary School","Very Strong","Very Strong","Strong","Strong","Weak","Weak"
"Ogden International High School","Average","NDA","Weak","Weak","Weak","NDA"
"Ole A Thorp Elementary Scholastic Academy","Strong","Strong","Average","Average","Weak","Average"
"Oliver S Westcott Elementary School","Weak","Average","Average","Average","Weak","Average"
"Oliver Wendell Holmes Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Oriole Park Elementary School","Very Strong","NDA","Very Strong","Strong","Weak","NDA"
"Orozco Fine Arts & Sciences Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"Orr Academy High School","NDA","NDA","NDA","NDA","Weak","NDA"
"Orville T Bright Elementary School","Very Weak","NDA","Weak","Weak","Weak","NDA"
"Oscar DePriest Elementary School","Weak","Weak","Average","Average","Weak","Weak"
"Oscar F Mayer Elementary School","Strong","NDA","Weak","Average","Weak","NDA"
"Pablo Casals Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Park Manor Elementary School","Weak","Average","Average","Average","Weak","Strong"
"Parkside Elementary Community Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Patrick Henry Elementary School","Average","Average","Average","Average","Weak","Average"
"Paul Cuffe Math-Science Technology Academy Elementary School","Average","Strong","Average","Average","Weak","Very Strong"
"Paul Laurence Dunbar Career Academy High School","Weak","Average","Weak","Weak","Weak","Average"
"Paul Revere Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"Paul Robeson High School","Weak","NDA","Weak","Average","Weak","NDA"
"Perkins Bass Elementary School","Weak","Average","Average","Average","Weak","Average"
"Pershing West Middle School","Average","Average","Weak","Average","Weak","Average"
"Peter A Reinberg Elementary School","Strong","Average","Weak","Weak","Weak","Average"
"Peter Cooper Elementary Dual Language Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Philip Rogers Elementary School","Very Strong","Strong","Strong","Strong","Weak","Strong"
"Phillip D Armour Elementary School","Weak","NDA","Weak","Very Weak","Weak","NDA"
"Phillip Murray Elementary Language Academy","Strong","NDA","Weak","Weak","Weak","NDA"
"Phobe Apperson Hearst Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Phoenix Military Academy High School","Average","NDA","Average","Strong","Weak","NDA"
"Pilsen Elementary Community Academy","Average","Average","Average","Average","Weak","Weak"
"Portage Park Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"Pulaski International Academy Elmentary School","Strong","Average","Average","Average","Weak","Weak"
"Rachel Carson Elementary School","Weak","Weak","Average","Average","Weak","Weak"
"Ralph H Metcalfe Elementary Community Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Ravenswood Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Ray Graham Training Center High School","Very Strong","Very Strong","Average","Weak","Weak","Average"
"Richard Edwards Elementary School","Average","Average","Weak","Average","Weak","Average"
"Richard Henry Lee Elementary School","Average","NDA","Average","Weak","Weak","NDA"
"Richard J Daley Elementary Academy","Weak","Average","Weak","Average","Weak","Average"
"Richard J Oglesby Elementary School","Average","Average","Average","Average","Weak","Weak"
"Richard T Crane Technical Preparatory High School","Average","NDA","Average","Average","Weak","NDA"
"Richard Yates Elementary School","Average","NDA","Strong","Strong","Weak","NDA"
"Roald Amundsen High School","Average","Average","Average","Average","Weak","Average"
"Robert A Black Magnet Elementary School","Strong","NDA","Strong","Average","Weak","NDA"
"Robert Emmet Elementary School","Weak","NDA","Strong","Strong","Weak","NDA"
"Robert Fulton Elementary School","Average","Average","Strong","Strong","Weak","Weak"
"Robert Healy Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"Robert H Lawrence Elementary School","Very Weak","Weak","Average","Average","Weak","Weak"
"Robert L Grimes Elementary School","Strong","Strong","Average","Average","Weak","Strong"
"Robert Lindblom Math & Science Academy High School","Strong","NDA","Strong","Very Strong","Weak","NDA"
"Robert Nathaniel Dett Elementary School","Average","NDA","Average","Strong","Weak","NDA"
"Roberto Clemente Community Academy High School","Average","Weak","Weak","Weak","Weak","Weak"
"Rodolfo Lozano Bilingual & International Center Elementary Schoo","Average","NDA","Weak","Weak","Weak","NDA"
"Roger C Sullivan High School","Weak","Average","Weak","Weak","Weak","Weak"
"Ronald Brown Elementary Community Academy","Weak","Weak","Average","Weak","Weak","Average"
"Ronald E McNair Elementary School","Weak","Weak","Average","Average","Weak","Weak"
"Rosario Castellanos Elementary School","Weak","Weak","Weak","Weak","Weak","Weak"
"Roswell B Mason Elementary School","Weak","Average","Average","Average","Weak","Weak"
"Rudyard Kipling Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Rueben Salazar Elementary Bilingual Center","Strong","NDA","Average","Average","Weak","NDA"
"Rufus M Hitch Elementary School","Strong","Strong","Average","Average","Weak","Strong"
"Salmon P Chase Elementary School","Average","Weak","Average","Weak","Weak","Weak"
"Samuel Gompers Fine Arts Options Elementary School","Weak","Average","Average","Average","Weak","Average"
"Sauganash Elementary School","Very Strong","NDA","Strong","Strong","Weak","NDA"
"Scott Joplin Elementary School","Weak","Weak","Average","Average","Weak","Weak"
"Sharon Christa McAuliffe Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Sidney Sawyer Elementary School","Average","Weak","Average","Weak","Weak","Weak"
"Simon Guggenheim Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Sir Miles Davis Magnet Elementary Academy","Weak","NDA","Average","Average","Weak","NDA"
"Skinner North","NDA","NDA","NDA","NDA","Weak","NDA"
"Socorro Sandoval Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Songhai Elementary Learning Institute","Very Weak","NDA","Average","Average","Weak","NDA"
"South Loop Elementary School","Very Strong","Strong","Weak","Weak","Weak","Average"
"South Shore Fine Arts Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Southside Occupational Academy High School","NDA","Average","NDA","NDA","Weak","Strong"
"Spencer Technology Academy","Weak","Average","Average","Strong","Weak","Average"
"Spry Community Links High School","Strong","NDA","Very Strong","Very Strong","Weak","NDA"
"Stephen Decatur Classical Elementary School","Very Strong","Very Strong","Very Strong","Very Strong","Weak","Very Strong"
"Stephen F Gale Elementary Community Academy","Weak","Weak","Weak","Weak","Weak","Weak"
"Stephen K Hayt Elementary School","Strong","Strong","Average","Average","Weak","Strong"
"Stephen T Mather High School","Average","Average","Average","Average","Weak","Average"
"Stone Elementary Scholastic Academy","Strong","NDA","Average","Average","Weak","NDA"
"Suder Montessori Magnet Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Talman Elementary School","Very Strong","Very Strong","Very Strong","Very Strong","Weak","Very Strong"
"Tarkington School of Excellence Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"TEAM Englewood Community Academy High School","Average","Average","Average","Average","Weak","Strong"
"Telpochcalli Elementary School","Average","Average","Very Weak","Weak","Weak","Strong"
"Theodore Herzl Elementary School","Average","NDA","Average","Strong","Weak","NDA"
"Theodore Roosevelt High School","Average","NDA","Average","Weak","Weak","NDA"
"Theophilus Schmid Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"Thomas A Edison Regional Gifted Center Elementary School","Very Strong","NDA","Strong","Average","Weak","NDA"
"Thomas A Hendricks Elementary Community Academy","Weak","NDA","Strong","Strong","Weak","NDA"
"Thomas Chalmers Specialty Elementary School","Weak","Strong","Weak","Average","Weak","Strong"
"Thomas Drummond Elementary School","Strong","NDA","Average","Average","Weak","NDA"
"Thomas Hoyne Elementary School","Strong","Strong","Strong","Strong","Weak","Strong"
"Thomas J Higgins Elementary Community Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Thomas J Waters Elementary School","Very Strong","NDA","Average","Average","Weak","NDA"
"Thomas Kelly High School","Weak","Average","Weak","Weak","Weak","Average"
"Thurgood Marshall Middle School","Weak","NDA","Very Weak","Very Weak","Weak","NDA"
"Turner-Drew Elementary Language Academy","Average","Average","Average","Average","Weak","Strong"
"Uplift Community High School","Average","Average","Strong","Strong","Weak","Average"
"Velma F Thomas Early Childhood Center","NDA","NDA","NDA","NDA","Weak","NDA"
"Victor Herbert Elementary School","Average","Average","Strong","Strong","Weak","Average"
"Virgil Grissom Elementary School","Strong","Strong","Average","Strong","Weak","Very Strong"
"VOISE Academy High School","Average","NDA","Average","Average","Weak","NDA"
"Walt Disney Magnet Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Walter L Newberry Math & Science Academy Elementary School","Strong","Strong","Average","Strong","Weak","Average"
"Walter Payton College Preparatory High School","Very Strong","NDA","Very Strong","Strong","Weak","NDA"
"Walter Q Gresham Elementary School","Weak","Average","Very Weak","Very Weak","Weak","Average"
"Walter Reed Elementary School","Weak","NDA","Strong","Strong","Weak","NDA"
"Walter S Christopher Elementary School","NDA","Average","NDA","NDA","Weak","Strong"
"Washington D Smyser Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Washington Irving Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"Wells Community Academy High School","Average","Average","Average","Weak","Weak","Average"
"Wendell E Green Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"Wendell Phillips Academy High School","NDA","Strong","NDA","NDA","Weak","Strong"
"Wendell Smith Elementary School","Weak","Weak","Very Weak","Very Weak","Weak","Weak"
"West Park Elementary Academy","Weak","NDA","Weak","Average","Weak","NDA"
"West Pullman Elementary School","Weak","Average","Average","Average","Weak","Average"
"West Ridge Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"Whitney M Young Magnet High School","Very Strong","Very Strong","Strong","Strong","Weak","Average"
"Wildwood Elementary School","Very Strong","Very Strong","Strong","Strong","Weak","Average"
"Willa Cather Elementary School","Strong","Strong","Strong","Very Strong","Weak","Very Strong"
"William A Hinton Elementary School","Very Weak","NDA","Weak","Weak","Weak","NDA"
"William Bishop Owen Scholastic Academy Elementary School","Average","Strong","Weak","Average","Weak","Average"
"William B Ogden Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"William C Goudy Elementary School","Strong","Average","Strong","Strong","Weak","Average"
"William C Reavis Math & Science Specialty Elementary School","Average","Very Weak","Weak","Weak","Weak","Very Weak"
"William E B Dubois Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"William E Dever Elementary School","Strong","Strong","Strong","Strong","Weak","Weak"
"William F Finkl Elementary School","Average","Strong","Average","Average","Weak","Average"
"William G Hibbard Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"William H Brown Elementary School","Weak","Strong","Average","Strong","Weak","Strong"
"William H King Elementary School","Average","NDA","Average","Average","Weak","NDA"
"William Howard Taft High School","Strong","NDA","Weak","Weak","Weak","NDA"
"William H Prescott Elementary School","Very Strong","NDA","Average","Weak","Weak","NDA"
"William H Ray Elementary School","Strong","NDA","Weak","Very Weak","Weak","NDA"
"William H Ryder Math & Science Specialty Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"William H Seward Communication Arts Academy Elementary School","Average","Average","Weak","Average","Weak","Strong"
"William J Bogan High School","Weak","NDA","Very Weak","Weak","Weak","NDA"
"William J & Charles H Mayo Elementary School","Average","Average","Strong","Strong","Weak","Average"
"William J Onahan Elementary School","Strong","Average","Weak","Weak","Weak","Weak"
"William Jones College Preparatory High School","Very Strong","NDA","Strong","Strong","Weak","NDA"
"William K New Sullivan Elementary School","Weak","Average","Weak","Average","Weak","Weak"
"William Penn Elementary School","Strong","NDA","Very Strong","Very Strong","Weak","NDA"
"William P Gray Elementary School","Average","NDA","Average","Weak","Weak","NDA"
"William P Nixon Elementary School","Average","NDA","Strong","Strong","Weak","NDA"
"William Rainey Harper High School","Weak","Weak","Weak","Average","Weak","Weak"
"Williams Multiplex Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Williams Preparatory Academy Middle School","Average","NDA","Average","Average","Weak","NDA"
"William T Sherman Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"William W Carter Elementary School","Very Weak","Average","Weak","Weak","Weak","Strong"
"Wolfgang A Mozart Elementary School","Average","NDA","Average","Weak","Weak","NDA"
"Woodlawn Community Elementary School","Strong","NDA","Very Strong","Strong","Weak","NDA"
"World Language Academy High School","Average","Weak","Average","Average","Weak","Average"
